"","x"
"1304","Effector CD4+ T"
"1305","Naive CD8+ T"
"1306","Naive CD8+ T"
"1307","Naive CD4+ T"
"1308","NK"
"1309","Naive CD4+ T"
"1310","Naive CD8+ T"
"1311","unknown"
"1312","Effector CD8+ T"
"1313","Naive CD4+ T"
"1314","Naive CD8+ T"
"1315","Naive CD4+ T"
"1316","Naive CD4+ T"
"1317","unknown"
"1318","Naive CD8+ T"
"1319","Naive CD8+ T"
"1320","Naive CD4+ T"
"1321","Monocytes"
"1322","Naive CD8+ T"
"1323","Naive CD4+ T"
"1324","Effector CD4+ T"
"1325","unknown"
"1326","B"
"1327","NK"
"1328","Naive CD4+ T"
"1329","Naive CD4+ T"
"1330","Effector CD4+ T"
"1331","Effector CD4+ T"
"1332","B"
"1333","Naive CD8+ T"
"1334","Effector CD8+ T"
"1335","Effector CD4+ T"
"1336","B"
"1337","Effector CD4+ T"
"1338","Effector CD8+ T"
"1339","NK"
"1340","Naive CD4+ T"
"1341","NK"
"1342","NK"
"1343","Naive CD4+ T"
"1344","Effector CD4+ T"
"1345","Naive CD4+ T"
"1346","Effector CD4+ T"
"1347","Effector CD8+ T"
"1348","Naive CD8+ T"
"1349","NK"
"1350","Naive CD4+ T"
"1351","B"
"1352","Effector CD4+ T"
"1353","NK"
"1354","Naive CD4+ T"
"1355","Effector CD4+ T"
"1356","Effector CD4+ T"
"1357","NK"
"1358","NK"
"1359","unknown"
"1360","Naive CD8+ T"
"1361","Effector CD4+ T"
"1362","Naive CD8+ T"
"1363","Naive CD4+ T"
"1364","Naive CD4+ T"
"1365","Naive CD4+ T"
"1366","Effector CD8+ T"
"1367","Naive CD8+ T"
"1368","Naive CD8+ T"
"1369","B"
"1370","Effector CD4+ T"
"1371","Monocytes"
"1372","Naive CD4+ T"
"1373","NK"
"1374","Naive CD4+ T"
"1375","Monocytes"
"1376","Naive CD8+ T"
"1377","Naive CD8+ T"
"1378","Monocytes"
"1379","Effector CD4+ T"
"1380","NK"
"1381","B"
"1382","Naive CD4+ T"
"1383","Effector CD4+ T"
"1384","Monocytes"
"1385","Naive CD4+ T"
"1386","Naive CD4+ T"
"1387","Effector CD4+ T"
"1388","B"
"1389","Effector CD8+ T"
"1390","Naive CD4+ T"
"1391","Naive CD4+ T"
"1392","Effector CD8+ T"
"1393","Effector CD4+ T"
"1394","NK"
"1395","Naive CD4+ T"
"1396","Naive CD8+ T"
"1397","Naive CD4+ T"
"1398","Effector CD8+ T"
"1399","B"
"1400","Naive CD8+ T"
"1401","Effector CD4+ T"
"1402","Effector CD4+ T"
"1403","Monocytes"
"1404","Effector CD4+ T"
"1405","Naive CD4+ T"
"1406","B"
"1407","Naive CD4+ T"
"1408","B"
"1409","Naive CD4+ T"
"1410","Effector CD8+ T"
"1411","Naive CD4+ T"
"1412","Naive CD4+ T"
"1413","B"
"1414","Naive CD8+ T"
"1415","Naive CD4+ T"
"1416","Naive CD4+ T"
"1417","NK"
"1418","Effector CD4+ T"
"1419","Naive CD8+ T"
"1420","Monocytes"
"1421","Naive CD4+ T"
"1422","Effector CD4+ T"
"1423","Effector CD4+ T"
"1424","NK"
"1425","NK"
"1426","Naive CD4+ T"
"1427","Effector CD4+ T"
"1428","Effector CD4+ T"
"1429","NK"
"1430","Effector CD4+ T"
"1431","Effector CD4+ T"
"1432","Naive CD4+ T"
"1433","unknown"
"1434","unknown"
"1435","Naive CD4+ T"
"1436","Naive CD4+ T"
"1437","unknown"
"1438","Naive CD8+ T"
"1439","Naive CD4+ T"
"1440","NK"
"1441","Effector CD4+ T"
"1442","Naive CD8+ T"
"1443","Naive CD4+ T"
"1444","Effector CD4+ T"
"1445","B"
"1446","Effector CD8+ T"
"1447","Naive CD4+ T"
"1448","NK"
"1449","Naive CD4+ T"
"1450","Naive CD8+ T"
"1451","Naive CD4+ T"
"1452","Effector CD4+ T"
"1453","Naive CD4+ T"
"1454","Naive CD4+ T"
"1455","Naive CD4+ T"
"1456","Effector CD4+ T"
"1457","NK"
"1458","NK"
"1459","B"
"1460","NK"
"1461","B"
"1462","Effector CD4+ T"
"1463","unknown"
"1464","Naive CD4+ T"
"1465","Naive CD4+ T"
"1466","Naive CD8+ T"
"1467","NK"
"1468","Monocytes"
"1469","Naive CD4+ T"
"1470","Effector CD4+ T"
"1471","Naive CD8+ T"
"1472","Naive CD4+ T"
"1473","Naive CD8+ T"
"1474","Naive CD4+ T"
"1475","Naive CD8+ T"
"1476","Naive CD4+ T"
"1477","Naive CD8+ T"
"1478","Naive CD4+ T"
"1479","Effector CD4+ T"
"1480","DC"
"1481","Effector CD4+ T"
"1482","Effector CD4+ T"
"1483","Naive CD4+ T"
"1484","NK"
"1485","Naive CD4+ T"
"1486","Naive CD8+ T"
"1487","Naive CD4+ T"
"1488","Effector CD4+ T"
"1489","Effector CD8+ T"
"1490","Naive CD4+ T"
"1491","Effector CD4+ T"
"1492","Naive CD4+ T"
"1493","Effector CD8+ T"
"1494","Monocytes"
"1495","Monocytes"
"1496","Naive CD4+ T"
"1497","B"
"1498","Naive CD4+ T"
"1499","NK"
"1500","Naive CD8+ T"
"1501","Monocytes"
"1502","Effector CD8+ T"
"1503","Effector CD4+ T"
"1504","Effector CD4+ T"
"1505","Naive CD8+ T"
"1506","NK"
"1507","Naive CD8+ T"
"1508","Effector CD8+ T"
"1509","Naive CD8+ T"
"1510","NK"
"1511","Monocytes"
"1512","Naive CD4+ T"
"1513","Naive CD4+ T"
"1514","B"
"1515","Naive CD4+ T"
"1516","Naive CD4+ T"
"1517","Monocytes"
"1518","Naive CD4+ T"
"1519","DC"
"1520","NK"
"1521","Monocytes"
"1522","B"
"1523","B"
"1524","Effector CD8+ T"
"1525","B"
"1526","Effector CD4+ T"
"1527","Effector CD8+ T"
"1528","Naive CD4+ T"
"1529","Effector CD8+ T"
"1530","Effector CD4+ T"
"1531","Effector CD4+ T"
"1532","Naive CD4+ T"
"1533","Effector CD4+ T"
"1534","Naive CD4+ T"
"1535","Naive CD4+ T"
"1536","Monocytes"
"1537","NK"
"1538","Naive CD4+ T"
"1539","Naive CD4+ T"
"1540","Effector CD4+ T"
"1541","Naive CD4+ T"
"1542","Effector CD4+ T"
"1543","Naive CD8+ T"
"1544","NK"
"1545","Naive CD8+ T"
"1546","Effector CD4+ T"
"1547","Effector CD4+ T"
"1548","unknown"
"1549","NK"
"1550","Naive CD4+ T"
"1551","B"
"1552","Naive CD4+ T"
"1553","Monocytes"
"1554","Naive CD4+ T"
"1555","Naive CD4+ T"
"1556","NK"
"1557","Naive CD4+ T"
"1558","Naive CD4+ T"
"1559","Effector CD4+ T"
"1560","Naive CD8+ T"
"1561","Naive CD4+ T"
"1562","Naive CD4+ T"
"1563","Naive CD4+ T"
"1564","NK"
"1565","Naive CD4+ T"
"1566","NK"
"1567","Naive CD4+ T"
"1568","Naive CD4+ T"
"1569","B"
"1570","Effector CD8+ T"
"1571","Effector CD4+ T"
"1572","Monocytes"
"1573","Naive CD4+ T"
"1574","NK"
"1575","Naive CD8+ T"
"1576","Naive CD8+ T"
"1577","Naive CD4+ T"
"1578","Effector CD8+ T"
"1579","DC"
"1580","Naive CD4+ T"
"1581","Effector CD4+ T"
"1582","Effector CD4+ T"
"1583","Effector CD4+ T"
"1584","Effector CD4+ T"
"1585","Effector CD8+ T"
"1586","Effector CD8+ T"
"1587","Naive CD4+ T"
"1588","Naive CD8+ T"
"1589","NK"
"1590","unknown"
"1591","Naive CD4+ T"
"1592","Effector CD4+ T"
"1593","Naive CD4+ T"
"1594","B"
"1595","Effector CD8+ T"
"1596","Naive CD4+ T"
"1597","Naive CD4+ T"
"1598","NK"
"1599","Naive CD4+ T"
"1600","Naive CD4+ T"
"1601","Naive CD4+ T"
"1602","NK"
"1603","Naive CD4+ T"
"1604","Naive CD4+ T"
"1605","Effector CD8+ T"
"1606","Effector CD8+ T"
"1607","Monocytes"
"1608","Effector CD4+ T"
"1609","Naive CD4+ T"
"1610","Naive CD4+ T"
"1611","Naive CD8+ T"
"1612","Naive CD4+ T"
"1613","Naive CD8+ T"
"1614","Effector CD8+ T"
"1615","unknown"
"1616","Effector CD4+ T"
"1617","Naive CD4+ T"
"1618","Naive CD4+ T"
"1619","DC"
"1620","Effector CD8+ T"
"1621","Naive CD4+ T"
"1622","Effector CD4+ T"
"1623","NK"
"1624","Naive CD4+ T"
"1625","DC"
"1626","Effector CD4+ T"
"1627","Effector CD4+ T"
"1628","NK"
"1629","Effector CD8+ T"
"1630","Naive CD4+ T"
"1631","Effector CD4+ T"
"1632","Naive CD4+ T"
"1633","Naive CD4+ T"
"1634","Naive CD4+ T"
"1635","Effector CD4+ T"
"1636","Effector CD4+ T"
"1637","Monocytes"
"1638","B"
"1639","Effector CD4+ T"
"1640","Monocytes"
"1641","Effector CD4+ T"
"1642","unknown"
"1643","Effector CD4+ T"
"1644","Naive CD4+ T"
"1645","Naive CD4+ T"
"1646","Effector CD8+ T"
"1647","Naive CD4+ T"
"1648","Effector CD4+ T"
"1649","Effector CD8+ T"
"1650","Naive CD4+ T"
"1651","Effector CD8+ T"
"1652","Effector CD8+ T"
"1653","Naive CD4+ T"
"1654","Naive CD4+ T"
"1655","Naive CD8+ T"
"1656","B"
"1657","Naive CD4+ T"
"1658","B"
"1659","Naive CD4+ T"
"1660","Effector CD4+ T"
"1661","Naive CD4+ T"
"1662","Naive CD8+ T"
"1663","Naive CD4+ T"
"1664","Effector CD8+ T"
"1665","Effector CD4+ T"
"1666","Naive CD4+ T"
"1667","Effector CD4+ T"
"1668","Naive CD8+ T"
"1669","DC"
"1670","Naive CD8+ T"
"1671","unknown"
"1672","Naive CD8+ T"
"1673","NK"
"1674","Naive CD4+ T"
"1675","Effector CD8+ T"
"1676","Naive CD8+ T"
"1677","Naive CD4+ T"
"1678","Naive CD4+ T"
"1679","Effector CD4+ T"
"1680","B"
"1681","Naive CD4+ T"
"1682","unknown"
"1683","NK"
"1684","NK"
"1685","DC"
"1686","Monocytes"
"1687","unknown"
"1688","Naive CD4+ T"
"1689","NK"
"1690","unknown"
"1691","Effector CD8+ T"
"1692","Effector CD8+ T"
"1693","unknown"
"1694","Naive CD4+ T"
"1695","NK"
"1696","Naive CD8+ T"
"1697","Naive CD4+ T"
"1698","Naive CD4+ T"
"1699","unknown"
"1700","Naive CD8+ T"
"1701","Naive CD4+ T"
"1702","Naive CD4+ T"
"1703","NK"
"1704","Effector CD8+ T"
"1705","NK"
"1706","Naive CD4+ T"
"1707","unknown"
"1708","NK"
"1709","Effector CD4+ T"
"1710","Effector CD4+ T"
"1711","Naive CD4+ T"
"1712","Naive CD4+ T"
"1713","Naive CD4+ T"
"1714","Effector CD8+ T"
"1715","Naive CD4+ T"
"1716","Naive CD4+ T"
"1717","Naive CD4+ T"
"1718","Naive CD4+ T"
"1719","B"
"1720","Naive CD8+ T"
"1721","unknown"
"1722","Effector CD4+ T"
"1723","Monocytes"
"1724","Naive CD4+ T"
"1725","Naive CD4+ T"
"1726","Effector CD4+ T"
"1727","NK"
"1728","Effector CD4+ T"
"1729","Naive CD4+ T"
"1730","Naive CD4+ T"
"1731","Naive CD4+ T"
"1732","Monocytes"
"1733","Naive CD4+ T"
"1734","unknown"
"1735","Naive CD4+ T"
"1736","unknown"
"1737","Naive CD4+ T"
"1738","Naive CD4+ T"
"1739","Effector CD4+ T"
"1740","Effector CD4+ T"
"1741","Naive CD4+ T"
"1742","Naive CD8+ T"
"1743","Naive CD4+ T"
"1744","Naive CD4+ T"
"1745","Effector CD8+ T"
"1746","Effector CD4+ T"
"1747","Naive CD4+ T"
"1748","Effector CD4+ T"
"1749","Effector CD4+ T"
"1750","Naive CD4+ T"
"1751","Naive CD4+ T"
"1752","Naive CD4+ T"
"1753","Naive CD4+ T"
"1754","Naive CD8+ T"
"1755","Effector CD4+ T"
"1756","NK"
"1757","Effector CD8+ T"
"1758","Naive CD8+ T"
"1759","Effector CD4+ T"
"1760","Effector CD4+ T"
"1761","Naive CD8+ T"
"1762","Effector CD4+ T"
"1763","Monocytes"
"1764","Naive CD4+ T"
"1765","Effector CD4+ T"
"1766","B"
"1767","NK"
"1768","Naive CD4+ T"
"1769","Effector CD4+ T"
"1770","Monocytes"
"1771","Effector CD4+ T"
"1772","Naive CD4+ T"
"1773","DC"
"1774","Monocytes"
"1775","Effector CD4+ T"
"1776","unknown"
"1777","NK"
"1778","Naive CD4+ T"
"1779","Naive CD4+ T"
"1780","B"
"1781","Naive CD8+ T"
"1782","B"
"1783","Naive CD4+ T"
"1784","Naive CD8+ T"
"1785","Effector CD4+ T"
"1786","Naive CD4+ T"
"1787","Effector CD4+ T"
"1788","B"
"1789","Naive CD4+ T"
"1790","Effector CD4+ T"
"1791","Naive CD4+ T"
"1792","Naive CD4+ T"
"1793","DC"
"1794","Effector CD8+ T"
"1795","Monocytes"
"1796","Naive CD4+ T"
"1797","NK"
"1798","Effector CD8+ T"
"1799","Naive CD4+ T"
"1800","Effector CD4+ T"
"1801","Naive CD4+ T"
"1802","Effector CD4+ T"
"1803","Monocytes"
"1804","Effector CD4+ T"
"1805","Naive CD4+ T"
"1806","Naive CD4+ T"
"1807","Monocytes"
"1808","Effector CD4+ T"
"1809","Effector CD4+ T"
"1810","Naive CD4+ T"
"1811","Naive CD8+ T"
"1812","NK"
"1813","Naive CD4+ T"
"1814","Naive CD4+ T"
"1815","Monocytes"
"1816","NK"
"1817","NK"
"1818","Naive CD4+ T"
"1819","Effector CD4+ T"
"1820","Effector CD4+ T"
"1821","Naive CD8+ T"
"1822","Naive CD4+ T"
"1823","Naive CD4+ T"
"1824","Effector CD8+ T"
"1825","NK"
"1826","Naive CD4+ T"
"1827","Naive CD4+ T"
"1828","unknown"
"1829","Naive CD4+ T"
"1830","Effector CD4+ T"
"1831","NK"
"1832","Naive CD4+ T"
"1833","B"
"1834","NK"
"1835","Effector CD4+ T"
"1836","Naive CD4+ T"
"1837","Naive CD4+ T"
"1838","B"
"1839","Naive CD4+ T"
"1840","Naive CD8+ T"
"1841","Naive CD8+ T"
"1842","Naive CD4+ T"
"1843","B"
"1844","Effector CD4+ T"
"1845","Effector CD4+ T"
"1846","Monocytes"
"1847","Effector CD4+ T"
"1848","Naive CD4+ T"
"1849","Effector CD8+ T"
"1850","Naive CD4+ T"
"1851","Effector CD4+ T"
"1852","NK"
"1853","Naive CD4+ T"
"1854","Effector CD4+ T"
"1855","Naive CD4+ T"
"1856","Effector CD4+ T"
"1857","Effector CD8+ T"
"1858","Naive CD8+ T"
"1859","Effector CD4+ T"
"1860","Naive CD4+ T"
"1861","Naive CD4+ T"
"1862","Naive CD4+ T"
"1863","Naive CD8+ T"
"1864","B"
"1865","Effector CD8+ T"
"1866","DC"
"1867","Naive CD4+ T"
"1868","Naive CD4+ T"
"1869","Effector CD4+ T"
"1870","Naive CD4+ T"
"1871","Naive CD8+ T"
"1872","Naive CD4+ T"
"1873","Monocytes"
"1874","Effector CD4+ T"
"1875","Effector CD8+ T"
"1876","Naive CD4+ T"
"1877","Effector CD4+ T"
"1878","Naive CD4+ T"
"1879","Naive CD8+ T"
"1880","Naive CD8+ T"
"1881","Naive CD4+ T"
"1882","Effector CD4+ T"
"1883","Effector CD4+ T"
"1884","Naive CD4+ T"
"1885","NK"
"1886","Effector CD8+ T"
"1887","Naive CD8+ T"
"1888","Naive CD8+ T"
"1889","Naive CD4+ T"
"1890","Naive CD4+ T"
"1891","Naive CD4+ T"
"1892","Monocytes"
"1893","NK"
"1894","Effector CD4+ T"
"1895","NK"
"1896","Naive CD4+ T"
"1897","Effector CD4+ T"
"1898","Naive CD4+ T"
"1899","Monocytes"
"1900","Naive CD4+ T"
"1901","Effector CD4+ T"
"1902","Effector CD4+ T"
"1903","Naive CD4+ T"
"1904","Effector CD4+ T"
"1905","Effector CD4+ T"
"1906","Naive CD8+ T"
"1907","Naive CD4+ T"
"1908","Naive CD4+ T"
"1909","Naive CD4+ T"
"1910","Monocytes"
"1911","Effector CD4+ T"
"1912","Naive CD4+ T"
"1913","Effector CD4+ T"
"1914","Effector CD4+ T"
"1915","unknown"
"1916","Effector CD4+ T"
"1917","NK"
"1918","Effector CD8+ T"
"1919","Naive CD8+ T"
"1920","Effector CD8+ T"
"1921","Naive CD8+ T"
"1922","NK"
"1923","Effector CD4+ T"
"1924","Naive CD8+ T"
"1925","B"
"1926","Naive CD8+ T"
"1927","DC"
"1928","Naive CD4+ T"
"1929","Naive CD4+ T"
"1930","Monocytes"
"1931","B"
"1932","Effector CD8+ T"
"1933","Effector CD4+ T"
"1934","NK"
"1935","Effector CD4+ T"
"1936","unknown"
"1937","Naive CD4+ T"
"1938","Naive CD4+ T"
"1939","unknown"
"1940","Effector CD4+ T"
"1941","Effector CD4+ T"
"1942","Naive CD4+ T"
"1943","unknown"
"1944","Effector CD4+ T"
"1945","Effector CD4+ T"
"1946","NK"
"1947","Effector CD8+ T"
"1948","Effector CD4+ T"
"1949","Naive CD4+ T"
"1950","Naive CD4+ T"
"1951","Effector CD4+ T"
"1952","Naive CD4+ T"
"1953","Naive CD8+ T"
"1954","Monocytes"
"1955","NK"
"1956","Naive CD8+ T"
"1957","Effector CD4+ T"
"1958","Monocytes"
"1959","Naive CD4+ T"
"1960","Effector CD4+ T"
"1961","Naive CD4+ T"
"1962","Effector CD4+ T"
"1963","Effector CD4+ T"
"1964","Effector CD4+ T"
"1965","Naive CD4+ T"
"1966","Naive CD4+ T"
"1967","Effector CD4+ T"
"1968","Monocytes"
"1969","Naive CD4+ T"
"1970","Effector CD8+ T"
"1971","Naive CD8+ T"
"1972","Monocytes"
"1973","Naive CD4+ T"
"1974","Naive CD4+ T"
"1975","Effector CD4+ T"
"1976","Effector CD8+ T"
"1977","Naive CD4+ T"
"1978","Monocytes"
"1979","Naive CD8+ T"
"1980","Naive CD4+ T"
"1981","Naive CD4+ T"
"1982","Monocytes"
"1983","Effector CD4+ T"
"1984","Naive CD4+ T"
"1985","Effector CD4+ T"
"1986","B"
"1987","Naive CD4+ T"
"1988","Effector CD4+ T"
"1989","Naive CD4+ T"
"1990","Naive CD4+ T"
"1991","Effector CD8+ T"
"1992","NK"
"1993","Naive CD4+ T"
"1994","Naive CD4+ T"
"1995","Effector CD4+ T"
"1996","Naive CD4+ T"
"1997","unknown"
"1998","Naive CD4+ T"
"1999","Effector CD8+ T"
"2000","Effector CD4+ T"
"2001","Effector CD8+ T"
"2002","Effector CD4+ T"
"2003","Naive CD4+ T"
"2004","Naive CD4+ T"
"2005","Naive CD8+ T"
"2006","Effector CD4+ T"
"2007","Effector CD4+ T"
"2008","Naive CD4+ T"
"2009","Effector CD4+ T"
"2010","Naive CD8+ T"
"2011","Effector CD4+ T"
"2012","Effector CD4+ T"
"2013","Naive CD4+ T"
"2014","Effector CD4+ T"
"2015","Naive CD8+ T"
"2016","Effector CD4+ T"
"2017","Effector CD4+ T"
"2018","Naive CD8+ T"
"2019","Effector CD4+ T"
"2020","Naive CD8+ T"
"2021","Naive CD4+ T"
"2022","NK"
"2023","NK"
"2024","Effector CD4+ T"
"2025","Effector CD4+ T"
"2026","Naive CD4+ T"
"2027","Monocytes"
"2028","Effector CD8+ T"
"2029","Effector CD8+ T"
"2030","Effector CD4+ T"
"2031","NK"
"2032","Effector CD4+ T"
"2033","B"
"2034","Naive CD4+ T"
"2035","Effector CD4+ T"
"2036","DC"
"2037","Naive CD4+ T"
"2038","Monocytes"
"2039","Naive CD4+ T"
"2040","Naive CD8+ T"
"2041","Effector CD8+ T"
"2042","NK"
"2043","Effector CD8+ T"
"2044","Naive CD4+ T"
"2045","Naive CD4+ T"
"2046","Effector CD4+ T"
"2047","Naive CD8+ T"
"2048","Naive CD4+ T"
"2049","Naive CD4+ T"
"2050","Naive CD8+ T"
"2051","Effector CD8+ T"
"2052","NK"
"2053","Naive CD4+ T"
"2054","Naive CD8+ T"
"2055","Effector CD8+ T"
"2056","DC"
"2057","Effector CD4+ T"
"2058","Effector CD8+ T"
"2059","Effector CD4+ T"
"2060","Effector CD4+ T"
"2061","Effector CD4+ T"
"2062","Monocytes"
"2063","B"
"2064","Effector CD4+ T"
"2065","B"
"2066","Effector CD4+ T"
"2067","Naive CD8+ T"
"2068","Effector CD4+ T"
"2069","Naive CD4+ T"
"2070","DC"
"2071","Naive CD4+ T"
"2072","Naive CD4+ T"
"2073","Naive CD4+ T"
"2074","Effector CD4+ T"
"2075","Effector CD8+ T"
"2076","Effector CD4+ T"
"2077","Naive CD4+ T"
"2078","B"
"2079","Effector CD4+ T"
"2080","Effector CD4+ T"
"2081","Effector CD4+ T"
"2082","B"
"2083","Effector CD8+ T"
"2084","Naive CD8+ T"
"2085","B"
"2086","Effector CD4+ T"
"2087","NK"
"2088","Naive CD4+ T"
"2089","Naive CD4+ T"
"2090","Naive CD8+ T"
"2091","NK"
"2092","Naive CD4+ T"
"2093","Monocytes"
"2094","B"
"2095","Effector CD4+ T"
"2096","Effector CD4+ T"
"2097","Naive CD4+ T"
"2098","Monocytes"
"2099","NK"
"2100","Naive CD8+ T"
"2101","Effector CD4+ T"
"2102","Monocytes"
"2103","Monocytes"
"2104","Naive CD4+ T"
"2105","NK"
"2106","B"
"2107","Naive CD4+ T"
"2108","Naive CD8+ T"
"2109","unknown"
"2110","Naive CD4+ T"
"2111","Naive CD4+ T"
"2112","Effector CD4+ T"
"2113","Naive CD4+ T"
"2114","Naive CD4+ T"
"2115","Naive CD4+ T"
"2116","unknown"
"2117","Effector CD4+ T"
"2118","NK"
"2119","Effector CD8+ T"
"2120","Naive CD4+ T"
"2121","Naive CD4+ T"
"2122","Effector CD4+ T"
"2123","Effector CD4+ T"
"2124","Naive CD4+ T"
"2125","Naive CD4+ T"
"2126","Naive CD8+ T"
"2127","Effector CD8+ T"
"2128","NK"
"2129","Effector CD4+ T"
"2130","Effector CD4+ T"
"2131","Effector CD4+ T"
"2132","Monocytes"
"2133","Naive CD4+ T"
"2134","Naive CD4+ T"
"2135","Naive CD4+ T"
"2136","Effector CD4+ T"
"2137","Effector CD8+ T"
"2138","Naive CD4+ T"
"2139","Naive CD4+ T"
"2140","unknown"
"2141","NK"
"2142","Naive CD8+ T"
"2143","Naive CD4+ T"
"2144","NK"
"2145","Effector CD4+ T"
"2146","Naive CD4+ T"
"2147","Naive CD8+ T"
"2148","NK"
"2149","B"
"2150","Monocytes"
"2151","Effector CD4+ T"
"2152","Naive CD4+ T"
"2153","Effector CD8+ T"
"2154","Effector CD4+ T"
"2155","Naive CD4+ T"
"2156","B"
"2157","Effector CD8+ T"
"2158","Naive CD4+ T"
"2159","Naive CD8+ T"
"2160","Naive CD8+ T"
"2161","Naive CD4+ T"
"2162","Naive CD8+ T"
"2163","B"
"2164","B"
"2165","Monocytes"
"2166","Naive CD4+ T"
"2167","Effector CD4+ T"
"2168","Naive CD4+ T"
"2169","Effector CD8+ T"
"2170","Effector CD4+ T"
"2171","Naive CD4+ T"
"2172","Naive CD4+ T"
"2173","Naive CD4+ T"
"2174","Naive CD4+ T"
"2175","Naive CD8+ T"
"2176","Naive CD4+ T"
"2177","Naive CD4+ T"
"2178","Naive CD4+ T"
"2179","Naive CD4+ T"
"2180","Naive CD4+ T"
"2181","Monocytes"
"2182","Effector CD4+ T"
"2183","Naive CD4+ T"
"2184","Monocytes"
"2185","Naive CD8+ T"
"2186","Naive CD4+ T"
"2187","Naive CD4+ T"
"2188","Effector CD4+ T"
"2189","Monocytes"
"2190","Effector CD4+ T"
"2191","Effector CD4+ T"
"2192","B"
"2193","Effector CD4+ T"
"2194","Naive CD4+ T"
"2195","Naive CD4+ T"
"2196","unknown"
"2197","Effector CD4+ T"
"2198","Effector CD4+ T"
"2199","Monocytes"
"2200","Naive CD4+ T"
"2201","Naive CD4+ T"
"2202","Effector CD4+ T"
"2203","NK"
"2204","Naive CD4+ T"
"2205","Naive CD4+ T"
"2206","Naive CD4+ T"
"2207","Naive CD4+ T"
"2208","Effector CD4+ T"
"2209","B"
"2210","Naive CD4+ T"
"2211","Naive CD8+ T"
"2212","Effector CD4+ T"
"2213","NK"
"2214","Effector CD4+ T"
"2215","Naive CD4+ T"
"2216","Effector CD8+ T"
"2217","Naive CD8+ T"
"2218","Naive CD4+ T"
"2219","Effector CD8+ T"
"2220","NK"
"2221","unknown"
"2222","NK"
"2223","DC"
"2224","Effector CD8+ T"
"2225","Naive CD4+ T"
"2226","B"
"2227","Effector CD4+ T"
"2228","Effector CD4+ T"
"2229","Effector CD4+ T"
"2230","Naive CD4+ T"
"2231","Monocytes"
"2232","Naive CD4+ T"
"2233","Naive CD4+ T"
"2234","B"
"2235","Naive CD4+ T"
"2236","Effector CD4+ T"
"2237","Effector CD4+ T"
"2238","B"
"2239","Naive CD4+ T"
"2240","Effector CD8+ T"
"2241","Naive CD4+ T"
"2242","Effector CD4+ T"
"2243","NK"
"2244","Naive CD8+ T"
"2245","Naive CD8+ T"
"2246","Naive CD4+ T"
"2247","unknown"
"2248","NK"
"2249","Monocytes"
"2250","Effector CD4+ T"
"2251","Effector CD4+ T"
"2252","Effector CD4+ T"
"2253","Effector CD8+ T"
"2254","Effector CD4+ T"
"2255","Effector CD4+ T"
"2256","Effector CD8+ T"
"2257","Naive CD4+ T"
"2258","NK"
"2259","Effector CD8+ T"
"2260","Naive CD4+ T"
"2261","DC"
"2262","Naive CD4+ T"
"2263","Naive CD4+ T"
"2264","Naive CD4+ T"
"2265","DC"
"2266","Naive CD4+ T"
"2267","Naive CD4+ T"
"2268","Effector CD4+ T"
"2269","Naive CD4+ T"
"2270","Naive CD4+ T"
"2271","unknown"
"2272","unknown"
"2273","Effector CD8+ T"
"2274","Naive CD4+ T"
"2275","Naive CD4+ T"
"2276","Effector CD4+ T"
"2277","Naive CD8+ T"
"2278","Naive CD4+ T"
"2279","Effector CD8+ T"
"2280","Effector CD4+ T"
"2281","Effector CD4+ T"
"2282","Effector CD8+ T"
"2283","Effector CD4+ T"
"2284","Naive CD4+ T"
"2285","Naive CD4+ T"
"2286","unknown"
"2287","Naive CD4+ T"
"2288","Naive CD4+ T"
"2289","Naive CD4+ T"
"2290","B"
"2291","Naive CD4+ T"
"2292","NK"
"2293","Effector CD4+ T"
"2294","NK"
"2295","Effector CD8+ T"
"2296","NK"
"2297","Effector CD4+ T"
"2298","Naive CD4+ T"
"2299","Naive CD4+ T"
"2300","Naive CD8+ T"
"2301","Effector CD4+ T"
"2302","Effector CD4+ T"
"2303","Effector CD4+ T"
"2304","Naive CD4+ T"
"2305","Effector CD4+ T"
"2306","Effector CD8+ T"
"2307","Naive CD4+ T"
"2308","Effector CD4+ T"
"2309","Monocytes"
"2310","Effector CD4+ T"
"2311","Naive CD8+ T"
"2312","Naive CD4+ T"
"2313","Effector CD4+ T"
"2314","Monocytes"
"2315","Effector CD4+ T"
"2316","NK"
"2317","Naive CD4+ T"
"2318","Effector CD4+ T"
"2319","Naive CD4+ T"
"2320","Effector CD8+ T"
"2321","Monocytes"
"2322","Naive CD8+ T"
"2323","Effector CD4+ T"
"2324","Effector CD4+ T"
"2325","Monocytes"
"2326","Naive CD8+ T"
"2327","NK"
"2328","Effector CD8+ T"
"2329","Naive CD8+ T"
"2330","Effector CD8+ T"
"2331","Naive CD8+ T"
"2332","Naive CD4+ T"
"2333","unknown"
"2334","NK"
"2335","Naive CD4+ T"
"2336","Monocytes"
"2337","Effector CD4+ T"
"2338","Effector CD4+ T"
"2339","Effector CD8+ T"
"2340","Naive CD8+ T"
"2341","Naive CD4+ T"
"2342","Naive CD4+ T"
"2343","Effector CD4+ T"
"2344","Naive CD4+ T"
"2345","Effector CD8+ T"
"2346","Effector CD4+ T"
"2347","NK"
"2348","Effector CD4+ T"
"2349","Effector CD4+ T"
"2350","Naive CD4+ T"
"2351","Effector CD4+ T"
